Descrição do Contrato,Categoria,Data de Vencimento,Fornecedor
Contrato 1 - Locação de Sala,Locação,10/11/2025,E
Contrato 2 - Seguro de Saúde,Seguro,03/11/2025,F
Contrato 3 - Licença de Software,Software,01/11/2025,B
Contrato 4 - Seguro Residencial,Seguro,26/05/2025,A
Contrato 5 - Seguro de Vida,Seguro,06/08/2025,B
Contrato 6 - Seguro Empresarial,Seguro,06/11/2025,A
Contrato 7 - Seguro Veicular,Seguro,22/05/2025,C
Contrato 8 - Manutenção de Equipamentos,Manutenção,11/03/2025,D
Contrato 9 - Seguro Empresarial,Seguro,25/08/2025,F
Contrato 10 - Consultoria Financeira,Consultoria,10/02/2025,F
Contrato 11 - Seguro Saúde,Seguro,30/01/2025,D
Contrato 12 - Seguro Imóvel,Seguro,11/07/2025,E
Contrato 13 - Consultoria de TI,Consultoria,12/04/2025,B
Contrato 14 - Consultoria em Marketing,Consultoria,09/02/2025,F
Contrato 15 - Locação de Equipamentos,Locação,24/05/2025,D
Contrato 16 - Consultoria Jurídica,Consultoria,01/03/2025,B
Contrato 17 - Locação de Sala Comercial,Locação,15/05/2025,A
Contrato 18 - Licença de Software X,Software,06/02/2025,E
Contrato 19 - Manutenção Preventiva,Manutenção,31/07/2025,D
Contrato 20 - Locação de Móveis,Locação,25/03/2025,D
Contrato 21 - Locação de Equipamentos Audiovisuais,Locação,05/03/2025,F
Contrato 22 - Consultoria Empresarial,Consultoria,04/07/2025,D
Contrato 23 - Consultoria em Vendas,Consultoria,21/01/2025,A
Contrato 24 - Fornecimento de Materiais,Fornecimento,22/09/2025,A
Contrato 25 - Seguro Veicular,Seguro,29/08/2025,C
Contrato 26 - Manutenção de Software,Manutenção,06/03/2025,C
Contrato 27 - Fornecimento de Software,Fornecimento,15/01/2025,A
Contrato 28 - Manutenção de Equipamentos,Manutenção,10/09/2025,B
Contrato 29 - Locação de Espaço,Locação,18/07/2025,C
Contrato 30 - Manutenção de Equipamentos,Manutenção,18/11/2025,B
Contrato 31 - Licença de Software X,Software,04/04/2025,F
Contrato 32 - Seguro Empresarial,Seguro,24/06/2025,A
Contrato 33 - Fornecimento de Equipamentos,Fornecimento,26/07/2025,F
Contrato 34 - Manutenção de Máquinas,Manutenção,06/05/2025,A
Contrato 35 - Consultoria em TI,Consultoria,10/04/2025,A
Contrato 36 - Licença de Software X,Software,25/02/2025,D
Contrato 37 - Seguro Empresarial,Seguro,15/08/2025,F
Contrato 38 - Fornecimento de Material,Fornecimento,13/05/2025,B
Contrato 39 - Seguro Veicular,Seguro,11/01/2025,B
Contrato 40 - Licença de Software,Software,20/09/2025,C
Contrato 41 - Fornecimento de Equipamentos,Fornecimento,23/05/2025,A
